pair,ts,net_frac,gross_frac,exit_type,tp_mult,hold_min,regime,k,ts_parsed,fold
BTCUSDT,2026-08-13 16:37:00+00:00,0.004600000000000001,0.006,TP,1.6,47.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,1119.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,39.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:39:00+00:00,0.004600000000000001,0.006,TP,1.6,37.0,CHOP,1.6,,
BTCUSDT,2026-08-13 16:40:00+00:00,0.004600000000000001,0.006,TP,1.6,1538.0,,1.6,,
NEARUSDT,2026-08-13 16:42:00+00:00,0.004600000000000001,0.006,TP,1.6,4.0,CHOP,1.6,,
XRPUSDT,2026-08-13 19:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,133.0,CHOP,1.6,,
BTCUSDT,2026-08-13 19:14:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,10.0,CHOP,1.6,,
BTCUSDT,2026-08-14 07:03:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,855.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,963.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,965.0,CHOP,1.6,,
BTCUSDT,2026-08-14 08:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,110.0,TREND,1.6,,
BTCUSDT,2026-08-14 13:47:00+00:00,-0.02154785408396109,-0.02014785408396109,MAX_AGE,1.6,2880.0,,1.6,,
BTCUSDT,2026-08-14 16:00:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,433.0,TREND,1.6,,
ETHUSDT,2026-08-14 16:06:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,434.0,CHOP,1.6,,
ETHUSDT,2026-08-14 16:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,46.0,CHOP,1.6,,
BTCUSDT,2026-08-14 17:56:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,542.0,TREND,1.6,,
SOLUSDT,2026-08-14 18:14:00+00:00,0.004600000000000001,0.006,TP,1.6,86.0,CHOP,1.6,,
ETHUSDT,2026-08-14 18:39:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,152.0,CHOP,1.6,,
BTCUSDT,2026-08-14 19:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,73.0,CHOP,1.6,,
ETHUSDT,2026-08-15 05:07:00+00:00,-0.008436945280502726,-0.007036945280502725,MAX_AGE,1.6,2880.0,CHOP,1.6,,
BTCUSDT,2026-08-15 05:18:00+00:00,-0.013430863617867047,-0.012030863617867047,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-15 05:40:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,659.0,CHOP,1.6,,
BTCUSDT,2026-08-15 06:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,646.0,CHOP,1.6,,
SOLUSDT,2026-08-15 06:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,92.0,CHOP,1.6,,
ETHUSDT,2026-08-15 16:42:00+00:00,-0.011725591374778738,-0.010325591374778738,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-15 19:14:00+00:00,-0.004091262403382052,-0.002691262403382052,MAX_AGE,1.6,2880.0,CHOP,1.6,,
SOLUSDT,2026-08-16 00:28:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,314.0,CHOP,1.6,,
ETHUSDT,2026-08-16 13:47:00+00:00,-0.007918842022446564,-0.006518842022446565,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:11:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2161.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:35:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2084.0,CHOP,1.6,,
ETHUSDT,2026-08-16 17:56:00+00:00,-0.005801295877914654,-0.0044012958779146545,MAX_AGE,1.6,2880.0,CHOP,1.6,,
ETHUSDT,2026-08-16 18:04:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,257.0,CHOP,1.6,,
NEARUSDT,2026-08-16 20:52:00+00:00,0.004600000000000001,0.006,TP,1.6,176.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,269.0,TREND,1.6,,
BTCUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,245.0,CHOP,1.6,,
ETHUSDT,2026-08-16 21:40:00+00:00,0.004600000000000001,0.006,TP,1.6,216.0,TREND,1.6,,
BTCUSDT,2026-08-16 21:47:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2372.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,2410.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1282.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:50:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,57.0,CHOP,1.6,,
BTCUSDT,2026-08-16 21:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,1749.0,CHOP,1.6,,
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,15.0,TREND,1.6,,
SOLUSDT,2026-08-16 22:05:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,12.0,TREND,1.6,,
BTCUSDT,2026-08-16 22:49:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,67.0,TREND,1.6,,
BTCUSDT,2026-08-16 22:51:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,64.0,TREND,1.6,,
BTCUSDT,2026-08-16 22:53:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,69.0,TREND,1.6,,
BTCUSDT,2026-08-16 22:57:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,60.0,TREND,1.6,,
XRPUSDT,2026-08-16 22:59:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,79.0,CHOP,1.6,,
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,1.6,132.0,CHOP,1.6,,
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,1.6,130.0,CHOP,1.6,,
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,1.6,127.0,CHOP,1.6,,
ETHUSDT,2026-08-17 01:01:00+00:00,0.004600000000000001,0.006,TP,1.6,121.0,CHOP,1.6,,
BTCUSDT,2026-08-17 01:15:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,132.0,CHOP,1.6,,
ETHUSDT,2026-08-17 01:37:00+00:00,0.0005000000000000001,0.0019,BE_STOP,1.6,28.0,CHOP,1.6,,
